Galaxy, mass/kev, 1sl, 1su, 1sl, 2su
Fornax Dwarf Spheroidal, 1.014782, 0.692992, 1.209130, 0.396026, 1.706405
Fornax Dwarf Spheroidal(gravsphere repo), 0.443437, 0.269126, 0.694543, 0.153233, 1.629674
Sculptor Dwarf Galaxy, 1.726875, 1.333339, 1.953202, 0.864855, 2.369616
Sculptor Dwarf Galaxy(gravsphere repo), 1.426178, 0.933543, 1.729200, 0.490323, 2.516246
Leo I, 1.104228, 0.945344, 1.340569, 0.756048, 1.743609
Leo I(gravsphere repo), 1.180304, 0.844543, 1.409175, 0.529874, 1.829290
Carina dSph, 1.447362, 0.796419, 1.916802, 0.404995, 2.508376
Carina dSph(gravsphere repo), 1.679449, 1.066451, 2.126338, 0.603216, 2.808356
