,R,vel,velerr
0,0.02584366674540391,99.0,0.300000011920929
1,0.05780896123445795,93.8,0.300000011920929
2,0.4456048313211318,0.52,0.002899999963119626
3,0.5906488482024534,-0.164,0.004000000189989805
4,0.6689419403218535,0.58,0.119999997317791
5,0.7563362329223032,-0.13,0.3799999952316284
6,1.190517951527099,0.71,0.1599999964237213
7,1.280999544307339,14.2919,0.03432999923825264
8,1.316561338153214,-0.4,0.5
9,1.348289146095979,0.115,0.2440000027418137
10,1.368779591193312,-0.75,0.2199999988079071
11,1.505686200411095,0.37,0.1500000059604645
12,1.546211697563705,1.70538,0.04094399884343147
13,1.59344563432357,-0.091,0.3300000131130219
14,1.605966488765684,-2.169,0.003000000026077032
15,1.638319155931205,0.05,0.1000000014901161
16,1.794350696379021,-0.35933,0.002691000001505017
17,1.806765841712516,4.63247,0.05070900171995163
18,1.814800781576659,0.334192,0.003192000091075897
19,1.954227252993504,-1.37,0.9300000071525574
20,1.99394034218991,0.447852,0.003389999968931079
21,2.043511348324381,2.25,0.2599999904632568
22,2.127294645430601,-0.3,3.200000047683716
23,2.148535919012531,7.56935,0.002735000103712082
24,2.214426927877564,1.47167,0.003613000037148595
25,2.220456872278695,0.641565,0.002735000103712082
26,2.259028508351844,0.385979,0.002724000019952655
27,2.366644863159361,0.62,0.1599999964237213
28,2.430283038064742,0.904993,0.005179999861866236
29,2.461818899564948,-10.655,0.03500000014901161
30,2.757179413596221,-0.025451,0.004982000216841698
31,3.021188060605762,-0.182,0.007000000216066837
32,3.041843854020073,0.56,0.3199999928474426
33,3.104414033187343,0.159,0.1749999970197678
34,3.185300110987266,-0.01,0.239999994635582
35,3.191645468679593,0.821,0.1239999979734421
36,3.297717314228167,-0.191,0.003100000089034438
37,3.558937112449069,-3.95,2.759999990463257
38,3.685139238013339,0.5,0.1000000014901161
39,3.711524488944363,1.48,0.3100000023841858
40,4.013576646213051,-0.03,0.239999994635582
41,4.23735700563106,1.11,0.239999994635582
42,4.541192260361401,-0.65,0.2700000107288361
43,4.964714871273233,0.8,0.5400000214576721
44,5.243717604092176,0.53,0.4300000071525574
45,5.905994596451734,-0.61,0.1599999964237213
46,6.547895153527786,-0.933,0.003100000089034438
47,6.941901012465193,-6.7,0.6100000143051147
48,6.996135698698474,2.93,0.5600000023841858
49,7.412631078404336,0.561,0.003000000026077032
50,8.823496485373264,-1.12,0.003299999982118607
