,R,Dens
0,0.00336159803360268,1
1,0.004955981760790039,1
2,0.005171678404237975,1
3,0.005543788920760577,1
4,0.006134078411086875,1
5,0.01240667128481228,1
6,0.01364460785107879,1
7,0.01369681879381075,1
8,0.01386956605841826,1
9,0.01428971364577497,1
10,0.01532886690470804,1
11,0.01578666257491932,1
12,0.01651977966060558,1
13,0.01752374505395974,1
14,0.01755414955441872,1
15,0.01775203567578712,1
16,0.01877493476124888,1
17,0.0190357105607661,1
18,0.0197770585871333,1
19,0.01989603413510774,1
20,0.02061159607098877,1
21,0.02104594228830426,1
22,0.02139525648918672,1
23,0.02188760172736418,1
24,0.02266325390928541,1
25,0.02311465316984167,1
26,0.02322059850689537,1
27,0.02434432798183874,1
28,0.02514392098590927,1
29,0.02517994420768774,1
30,0.02803892390082525,1
31,0.02830816446818595,1
32,0.02848837305250106,1
33,0.02857986869979764,1
34,0.028954240685286,1
35,0.02944984156225661,1
36,0.02957604540527225,1
37,0.03060687205293962,1
38,0.03093815175766318,1
39,0.03115798172872682,1
40,0.03125265007021439,1
41,0.03126280686831875,1
42,0.03146583987367547,1
43,0.03229311044242895,1
44,0.03255544055945533,1
45,0.03341884010015926,1
46,0.03342941710586649,1
47,0.03368905898118423,1
48,0.03385456486317893,1
49,0.0349749179610922,1
50,0.03509699657984999,1
51,0.03512841324637322,1
52,0.03545359480524558,1
53,0.0358921115757592,1
54,0.03624049737387788,1
55,0.03639348317010177,1
56,0.03675311968056915,1
57,0.03759833513915904,1
58,0.03840368729823491,1
59,0.03857963175920443,1
60,0.038699027712206,1
61,0.03923809366276777,1
62,0.039249425641447,1
63,0.03930815533615788,1
64,0.03931104975257295,1
65,0.04069907285082928,1
66,0.04095759082407921,1
67,0.04141835986791946,1
68,0.04157444442043512,1
69,0.04184783966318365,1
70,0.04239813345263545,1
71,0.04360649866981745,1
72,0.04367029974088093,1
73,0.04372572401924037,1
74,0.04453258935335205,1
75,0.04520052393231581,1
76,0.04575060823746491,1
77,0.04592117017521463,1
78,0.04608985157460992,1
79,0.04675088102886748,1
80,0.04706612159241248,1
81,0.04756355795401715,1
82,0.04781824144180429,1
83,0.04802646366806597,1
84,0.04841653956266817,1
85,0.04863275199931216,1
86,0.04874575849362566,1
87,0.04875438362643075,1
88,0.04883731297101711,1
89,0.04897806111837063,1
90,0.04933143383351403,1
91,0.04943838564750525,1
92,0.04968799706192615,1
93,0.04981821264733038,1
94,0.05025620037681945,1
95,0.05027902062678674,1
96,0.05073321689957683,1
97,0.05155732714981914,1
98,0.05180389285129916,1
99,0.05210446742656254,1
100,0.0525576927877776,1
101,0.05265747688486003,1
102,0.05281245931237047,1
103,0.05285459032312333,1
104,0.05290807797746093,1
105,0.05300599830029496,1
106,0.05303158479073942,1
107,0.05305087146896278,1
108,0.05305098286395592,1
109,0.05336665851843775,1
110,0.05396193433669153,1
111,0.05471514705583801,1
112,0.05475245134816327,1
113,0.05502520477973257,1
114,0.05594133154366496,1
115,0.05658326201863435,1
116,0.05686755970781995,1
117,0.05698875556939851,1
118,0.05719060161423679,1
119,0.05734034508120121,1
120,0.05758191901030991,1
121,0.05761232432063963,1
122,0.05763938927152616,1
123,0.0579784393400728,1
124,0.05808645911542948,1
125,0.05883974411116687,1
126,0.0589513342812595,1
127,0.05937398835024378,1
128,0.05976389325901642,1
129,0.06002529986121947,1
130,0.06003812691410752,1
131,0.06021386412062742,1
132,0.06021521475145108,1
133,0.06045991317682367,1
134,0.06075305143625417,1
135,0.06079291715674552,1
136,0.06104899954180899,1
137,0.06122731452381508,1
138,0.06124800488888963,1
139,0.06126214015514236,1
140,0.06136728748227379,1
141,0.06171853396067353,1
142,0.06227171562615548,1
143,0.06316288495526826,1
144,0.0634461559066472,1
145,0.06363219249398833,1
146,0.06416096907944432,1
147,0.06440228589624437,1
148,0.06456829933973386,1
149,0.06461087271138108,1
150,0.06481342417613407,1
151,0.06517375413568655,1
152,0.06562381377920257,1
153,0.0660009548134258,1
154,0.066229882399111,1
155,0.06647919724473504,1
156,0.06693120185484304,1
157,0.06722311541400532,1
158,0.0675397502454749,1
159,0.06786232289199055,1
160,0.06810304682525854,1
161,0.06813700079295766,1
162,0.06833206974761162,1
163,0.06837101085325992,1
164,0.06842682003240684,1
165,0.06853106140242538,1
166,0.06856884381279266,1
167,0.06864752811116213,1
168,0.0687416709510984,1
169,0.07002381082111375,1
170,0.07010454253514227,1
171,0.07025008938360111,1
172,0.07040344452146362,1
173,0.07040437056323638,1
174,0.07051855980189387,1
175,0.07171753056826169,1
176,0.07202894646824375,1
177,0.0722211343710591,1
178,0.07227426858112995,1
179,0.07246313197233376,1
180,0.0724841141450804,1
181,0.07312979297180154,1
182,0.07356569430727657,1
183,0.07362212469920257,1
184,0.07375692246043272,1
185,0.07458786482152338,1
186,0.07464669190932847,1
187,0.0749270561760053,1
188,0.07533935970454937,1
189,0.0753463449280499,1
190,0.07584683255815536,1
191,0.0761052677680653,1
192,0.07619085197600844,1
193,0.07620394183826047,1
194,0.07662396761622445,1
195,0.07670425797802846,1
196,0.07676519967167403,1
197,0.0768262998669126,1
198,0.07735981927732487,1
199,0.07814752036408616,1
200,0.07852085336617302,1
201,0.07853213822483292,1
202,0.07863202197727212,1
203,0.07876991601613487,1
204,0.07880311260436668,1
205,0.07911365678849189,1
206,0.07934249582570231,1
207,0.07952213762182826,1
208,0.08026776214130224,1
209,0.08027331323053724,1
210,0.08052550209903425,1
211,0.08086997472343684,1
212,0.08087640360784795,1
213,0.08105792842380509,1
214,0.08150716437285431,1
