,R,Dens
0,0.04581106311496883,1
1,0.05324063876900121,1
2,0.0596712373077684,1
3,0.06147413593368452,1
4,0.1067385761368503,1
5,0.1120485533493741,1
6,0.1208793214869281,1
7,0.1307280828966186,1
8,0.1433103772882831,1
9,0.1474396447183229,1
10,0.1612672473216014,1
11,0.1760918034932768,1
12,0.1812147509273135,1
13,0.1846008458173388,1
14,0.1869605188114792,1
15,0.1892292494560131,1
16,0.2009844956212326,1
17,0.2026457957903025,1
18,0.2065691729660141,1
19,0.2227782886274223,1
20,0.228035383621418,1
21,0.2319348740070951,1
22,0.2334830365593178,1
23,0.2350633019312514,1
24,0.2427465434508311,1
25,0.2453971975518743,1
26,0.2474689468324404,1
27,0.247618352710189,1
28,0.2499175760366653,1
29,0.250319351216887,1
30,0.2516702759015521,1
31,0.2522386464397274,1
32,0.2581331116478721,1
33,0.2598770237540015,1
34,0.2731078452897769,1
35,0.2733643508982845,1
36,0.2742287580071078,1
37,0.2758032967024598,1
38,0.2788463364264983,1
39,0.2806352562264335,1
40,0.2822561111256062,1
41,0.2897365533907698,1
42,0.292931990015764,1
43,0.2950325289298657,1
44,0.2982440974325441,1
45,0.3025217814518802,1
46,0.3031278467714439,1
47,0.3107080679078294,1
48,0.3163360801392898,1
49,0.3177380688729104,1
50,0.3196959251017754,1
51,0.320586067834601,1
52,0.3222428903129216,1
53,0.3282055500463684,1
54,0.3310130050611067,1
55,0.3317299064936549,1
56,0.3330086461993768,1
57,0.3336285991703772,1
58,0.3357592386654924,1
59,0.3367291712027624,1
60,0.3372965352574264,1
61,0.3416115467424445,1
62,0.3493207001108042,1
63,0.3558220891679903,1
64,0.3565744723860362,1
65,0.3570332315989666,1
66,0.3750756267304831,1
67,0.378146768920273,1
68,0.3815898688949746,1
69,0.385825774561225,1
70,0.393520350386823,1
71,0.3954544689940886,1
72,0.3976128755609735,1
73,0.4021919510529625,1
74,0.4037825140502911,1
75,0.4069215310883688,1
76,0.411535066871048,1
77,0.4191698782677864,1
78,0.4198830857310355,1
79,0.4210758148572609,1
80,0.421674296403659,1
81,0.4237491863823905,1
82,0.4263543605561464,1
83,0.4272179038033126,1
84,0.4285145316365949,1
85,0.4294373486132377,1
86,0.4302051814705648,1
87,0.4307123781927968,1
88,0.4348890512274216,1
89,0.4412738452232546,1
90,0.4445420402835895,1
91,0.4450463979295495,1
92,0.4533645093361207,1
93,0.4606639764739147,1
94,0.4627780937335982,1
95,0.4668792792781195,1
96,0.4689773074406819,1
97,0.4717625027769635,1
98,0.4720654967551837,1
99,0.4726779595638186,1
100,0.475575657541818,1
101,0.4800180991050402,1
102,0.4844041003541569,1
103,0.4856405929240711,1
104,0.5043777464243935,1
105,0.5098378925078366,1
106,0.5127174113349074,1
107,0.5200554145911385,1
108,0.5499274036604183,1
109,0.5580213950035648,1
110,0.5586001482178012,1
111,0.56220069192173,1
112,0.5695896389718674,1
113,0.57039078068178,1
114,0.5750730585684501,1
115,0.5761562219740538,1
116,0.5762231801349905,1
117,0.5771443486280765,1
118,0.5853124295739996,1
119,0.5899707114829844,1
120,0.5941868180803754,1
121,0.59493720634057,1
122,0.598640623767282,1
123,0.5998616636641588,1
124,0.6207746449793912,1
125,0.6242692885684422,1
126,0.6280721790105227,1
127,0.6315193427923083,1
128,0.6409766031976362,1
129,0.6462311672597684,1
130,0.6601930039585997,1
131,0.6760574944567803,1
132,0.6773257387122054,1
133,0.6789462313925734,1
134,0.6889405565493426,1
135,0.694983738176994,1
136,0.6974851659984289,1
137,0.7055755028421921,1
138,0.7107365716711286,1
139,0.7180549318871686,1
140,0.7318294254447717,1
141,0.7454990183025624,1
142,0.7462344183406932,1
143,0.7463766664941714,1
144,0.7520509065420878,1
145,0.75453383546587,1
146,0.7573378797967795,1
147,0.760570584191657,1
148,0.7801779991169189,1
149,0.7852249393496145,1
150,0.7873374290177889,1
151,0.7910741582170014,1
152,0.7952474165328494,1
153,0.799296259542751,1
154,0.8047031852084011,1
155,0.8158905610903701,1
156,0.8194227096006136,1
157,0.8206742444969942,1
158,0.8207179247670582,1
159,0.8232841273691452,1
160,0.8257614014602125,1
161,0.8338554127968082,1
162,0.8339668239137925,1
163,0.834495072713955,1
164,0.8366745255313961,1
165,0.8479389756427678,1
166,0.8501738358492288,1
167,0.8569120810234683,1
168,0.862366854750785,1
169,0.865118751714328,1
170,0.866707548528713,1
171,0.8748101987155114,1
172,0.87718993038105,1
173,0.8808811127064411,1
174,0.883985267065808,1
175,0.8953687260037282,1
176,0.900658099340951,1
177,0.9197713297369303,1
178,0.9229052098597953,1
179,0.9374625511307636,1
180,0.9392419975911785,1
181,0.9441097603567737,1
182,0.9487326833556018,1
183,0.951557234653991,1
184,0.9632000507120466,1
185,0.9754982398216288,1
186,0.9828058061452942,1
187,0.9861400572803766,1
188,1.013289079753765,1
189,1.036404439346279,1
190,1.049231351383775,1
191,1.067868389140035,1
192,1.069542123894043,1
193,1.090459287666335,1
194,1.111193523452406,1
195,1.117320222734821,1
196,1.119774715073589,1
197,1.148242261346419,1
198,1.156143886415597,1
199,1.165126381511336,1
200,1.167521202658778,1
201,1.174940208884841,1
202,1.184606364874139,1
203,1.201595702195834,1
204,1.22565142673176,1
205,1.229600157997765,1
206,1.253515012541735,1
207,1.259995885017525,1
208,1.2694928876917,1
209,1.321520007996565,1
210,1.35678353670012,1
211,1.356903557432389,1
212,1.442743590472486,1
213,1.462558189877834,1
214,1.477109600266407,1
215,1.519624321991291,1
216,1.52031056380832,1
217,1.58655123346764,1
218,1.612891065926965,1
219,1.695687300552406,1
220,1.720597920450727,1
221,1.769625413890576,1
222,1.77462359393211,1
223,1.853035581224589,1
224,1.947731532274189,1
225,1.949553586593991,1
226,2.008642522921082,1
227,2.06274337100503,1
228,2.150476997786164,1
229,2.154127141372249,1
230,2.197632411709557,1
231,2.217161359367902,1
232,2.292523043989718,1
233,2.379192179822044,1
234,2.405945906519718,1
235,2.454818929463892,1
236,2.504755494188254,1
