,R,Dens
0,0.002533746841897839,1
1,0.0211745447148637,1
2,0.0252273498335783,1
3,0.02595437482552298,1
4,0.02986431755354022,1
5,0.03062839723927649,1
6,0.03912929301772732,1
7,0.04504966919953808,1
8,0.05368747752692062,1
9,0.05937919382848796,1
10,0.06179658402526971,1
11,0.06191614014925687,1
12,0.06201006954879927,1
13,0.06213556392299679,1
14,0.06860640984605967,1
15,0.07633633504533978,1
16,0.07900243229622858,1
17,0.07944690263871643,1
18,0.08369330953885547,1
19,0.0872164671204551,1
20,0.08786674018269036,1
21,0.1102281858386082,1
22,0.1123213313658618,1
23,0.1129257904398115,1
24,0.1216309812072046,1
25,0.1233521261423846,1
26,0.1241448831506681,1
27,0.137572739799661,1
28,0.1377832398590439,1
29,0.1448198324550175,1
30,0.1461733596241035,1
31,0.1525891929564721,1
32,0.1619484248035915,1
33,0.1625735132275236,1
34,0.1633054188618392,1
35,0.1860459331687333,1
36,0.1880840816325182,1
37,0.2067446323680191,1
38,0.2141300382812641,1
39,0.2219292378276603,1
40,0.2291347912964739,1
41,0.2293392389848435,1
42,0.262464284103834,1
43,0.2655593112230881,1
44,0.2727139671372743,1
45,0.2842398361990376,1
46,0.2856743520246779,1
47,0.3183637047286993,1
48,0.330782183414428,1
49,0.3886200284811977,1
50,0.3965388653706169,1
51,0.4026453279089666,1
52,0.4363755505079253,1
53,0.4551121071596371,1
54,0.4690396601336688,1
55,0.4869449233295167,1
56,0.4992872118957133,1
57,0.5320781163699316,1
58,0.532501810073171,1
59,0.5471716374298288,1
60,0.5478900207166306,1
61,0.5706731359328153,1
62,0.6104656489116582,1
63,0.6141520029791476,1
