,R,Dens
0,0.005754352746465336,1
1,0.005754352746465336,1
2,0.009883278985549776,1
3,0.009883278985549776,1
4,0.01081105750311597,1
5,0.01263733392613242,1
6,0.01263733392613242,1
7,0.0172190891970422,1
8,0.02584366674540391,1
9,0.02659355392813775,1
10,0.03160159462694929,1
11,0.03272738828931353,1
12,0.03434648495902205,1
13,0.03651810941859616,1
14,0.04030876156646885,1
15,0.04235310524652966,1
16,0.04571224975788106,1
17,0.05121652290953518,1
18,0.05121652290953518,1
19,0.05780896123445795,1
20,0.06046713799695051,1
21,0.06381065112649907,1
22,0.08502522237388647,1
23,0.09431288496451498,1
24,0.09712583687119877,1
25,0.1002920767043444,1
26,0.1012929281238362,1
27,0.1028360387140868,1
28,0.1209565352079335,1
29,0.1442439948633591,1
30,0.1531827393424645,1
31,0.4456048313211318,1
32,0.5906488482024534,1
33,0.6689419403218535,1
34,0.7563362329223032,1
35,1.190517951527099,1
36,1.280999544307339,1
37,1.316561338153214,1
38,1.348289146095979,1
39,1.368779591193312,1
40,1.505686200411095,1
41,1.546211697563705,1
42,1.59344563432357,1
43,1.605966488765684,1
44,1.638319155931205,1
45,1.794350696379021,1
46,1.806765841712516,1
47,1.814800781576659,1
48,1.954227252993504,1
49,1.99394034218991,1
50,2.043511348324381,1
51,2.127294645430601,1
52,2.148535919012531,1
53,2.214426927877564,1
54,2.220456872278695,1
55,2.259028508351844,1
56,2.366644863159361,1
57,2.430283038064742,1
58,2.461818899564948,1
59,2.757179413596221,1
60,3.021188060605762,1
61,3.041843854020073,1
62,3.104414033187343,1
63,3.185300110987266,1
64,3.191645468679593,1
65,3.297717314228167,1
66,3.558937112449069,1
67,3.685139238013339,1
68,3.711524488944363,1
69,4.013576646213051,1
70,4.23735700563106,1
71,4.541192260361401,1
72,4.964714871273233,1
73,5.243717604092176,1
74,5.905994596451734,1
75,6.547895153527786,1
76,6.941901012465193,1
77,6.996135698698474,1
78,7.412631078404336,1
79,8.823496485373264,1
