,R,Dens
0,0.01127533040267855,1
1,0.03611366448742095,1
2,0.05016706099722583,1
3,0.05537154349301475,1
4,0.0653007670857402,1
5,0.0853957630344791,1
6,0.08720510991589801,1
7,0.09468210879325008,1
8,0.1159680712637711,1
9,0.1393928086015687,1
10,0.1409892958466632,1
11,0.1475324890281037,1
12,0.1565371745522974,1
13,0.1565923746584242,1
14,0.1611227455719376,1
15,0.1811715892543922,1
16,0.1859820995209128,1
17,0.1900126306334097,1
18,0.20528004836075,1
19,0.2054754524827826,1
20,0.2093669869292773,1
21,0.2154160181197277,1
22,0.2200044860139409,1
23,0.2279860999708422,1
24,0.2318973872924268,1
25,0.2392039526379053,1
26,0.243523337884799,1
27,0.2437177576578164,1
28,0.2447320888147369,1
29,0.2522080172922988,1
30,0.2552448964377441,1
31,0.2572606892551479,1
32,0.2576896099396826,1
33,0.2678489427098557,1
34,0.2681811950169004,1
35,0.2832141314157307,1
36,0.2835926616303894,1
37,0.283841332830306,1
38,0.2980421358591612,1
39,0.3031011841064953,1
40,0.3134629948759348,1
41,0.317166209006346,1
42,0.3244123010445604,1
43,0.3270726804371856,1
44,0.3284833250748305,1
45,0.3360337195210751,1
46,0.3467038565828215,1
47,0.3496318108219895,1
48,0.3666434028204797,1
49,0.3714191877196069,1
50,0.398094913107346,1
51,0.4215677677635151,1
52,0.4319347152008862,1
53,0.4408933271057606,1
54,0.4422300593222678,1
55,0.4629639025571902,1
56,0.4730446632736326,1
57,0.4993931569353348,1
58,0.5117277679652654,1
59,0.5295835970505893,1
60,0.5455670104653988,1
61,0.555495509077554,1
62,0.5619437646376513,1
63,0.5732331445823098,1
64,0.5956798883543765,1
65,0.6718247062940093,1
66,0.7042105808637593,1
67,0.7496528919885134,1
68,0.7974892235152851,1
69,0.7998787689789608,1
70,0.8816017938163827,1
71,0.9317097311764571,1
72,1.040765073988944,1
73,1.140675532474767,1
74,1.236626099794312,1
75,1.245796294934347,1
76,1.285852566256299,1
