,R,Dens
0,0.01615066139172495,1
1,0.02588556893433679,1
2,0.02682775675250722,1
3,0.03888741263253832,1
4,0.04224354824234486,1
5,0.04442517699953667,1
6,0.04625904392106604,1
7,0.04677356110271976,1
8,0.04909163238604504,1
9,0.05099486550503576,1
10,0.05127561894518631,1
11,0.05531226952039411,1
12,0.05927894551164064,1
13,0.06064081919340873,1
14,0.06385599221324767,1
15,0.06388242085303783,1
16,0.0670992968060236,1
17,0.07118559985649084,1
18,0.07281997523271251,1
19,0.08297965576072792,1
20,0.08484352057043049,1
21,0.08583486264141432,1
22,0.08705517484277343,1
23,0.08947957013170933,1
24,0.0940662683678475,1
25,0.0946788575988611,1
26,0.09503574963781215,1
27,0.09618317748572904,1
28,0.09620815239761236,1
29,0.0979379968730496,1
30,0.1033384679781445,1
31,0.1053349796002479,1
32,0.1083837572660176,1
33,0.1099867679012917,1
34,0.1142608485862219,1
35,0.1155720386129182,1
36,0.1164254597962735,1
37,0.119193780246474,1
38,0.1204931898699222,1
39,0.1208157372723265,1
40,0.1235191846286081,1
41,0.126125966623189,1
42,0.1270814736575556,1
43,0.1285667474263215,1
44,0.1297342147237769,1
45,0.1307325223128217,1
46,0.1314317276287434,1
47,0.1315863466595938,1
48,0.1317678243797344,1
49,0.1339398764877175,1
50,0.1344164007151408,1
51,0.1412147288250307,1
52,0.1413282651680425,1
53,0.1536820647310225,1
54,0.1539502335891361,1
55,0.1555964775833579,1
56,0.1640860944156236,1
57,0.1658268926171174,1
58,0.1685880705023389,1
59,0.1748800603275655,1
60,0.1750250240212479,1
61,0.1792414255858575,1
62,0.1862044861001541,1
63,0.1950228962199881,1
64,0.1993321046858275,1
65,0.2042014798090143,1
66,0.2060242948895924,1
67,0.2166775094129701,1
68,0.2288250391162164,1
69,0.2484492821560549,1
70,0.2598754198816349,1
71,0.2607460073219701,1
72,0.2680769293654575,1
73,0.2911511267163281,1
74,0.3267918520330108,1
75,0.3291254533915915,1
76,0.367918578668375,1
77,0.3854319092367604,1
78,0.3965051151006447,1
79,0.4352277927664368,1
80,0.5085580721781329,1
81,0.5403131328555013,1
82,0.5404077636599532,1
83,0.6257378552244421,1
84,0.9301628991014731,1
85,0.9719025173450333,1
86,1.060855356881138,1
87,1.118959486780736,1
