,R,vel,velerr
0,0.1028985019716604,-257.0,18.0
1,0.2690361422448744,-191.6,2.599999904632568
2,0.2754952697195435,-178.7,2.700000047683716
3,0.3011686746975998,-192.8,2.900000095367432
4,0.3101017167638416,-179.1,2.400000095367432
5,0.3294983865862898,-248.0,25.0
6,0.3676800901015567,-181.3,2.400000095367432
7,0.3702319415776605,-153.4,2.5
8,0.3918026124970119,-168.9,2.5
9,0.4255642852490124,-196.1,2.400000095367432
10,0.4435993940779616,-183.8,2.799999952316284
11,0.4716761474665204,-180.5,2.400000095367432
12,0.4842601745262441,-176.5,2.200000047683716
13,0.497600644889771,-198.3,3.200000047683716
14,0.5065303583874387,-208.5,2.700000047683716
15,0.518637695865401,-188.1,2.299999952316284
16,0.5228825289100882,-172.6,2.799999952316284
17,0.5299074047348037,-179.6,2.5
18,0.5360322170230077,-188.0,2.5
19,0.5375559502030886,-185.2,3.099999904632568
20,0.5465957512176123,-208.9,2.299999952316284
21,0.6032147443137972,-207.1,2.799999952316284
22,0.6060235449180463,-184.6,2.599999904632568
23,0.6062196240786535,-188.2,3.900000095367432
24,0.6135628748737545,-196.1,2.200000047683716
25,0.6231520360633842,-182.2,2.400000095367432
26,0.6326484096489364,-174.6,2.200000047683716
27,0.6373961399385313,-179.9,3.700000047683716
28,0.6471364149986533,-157.8,3.200000047683716
29,0.649494540820766,-183.3,3.099999904632568
30,0.6523721701914024,-184.7,3.900000095367432
31,0.6588190072315654,-172.2,2.5
32,0.679425719742538,-189.6,3.400000095367432
33,0.6878520251795343,-164.4,3.0
34,0.6905806178143865,-200.1,3.0
35,0.6917398891034416,-191.3,2.400000095367432
36,0.6917728903796035,-189.6,2.5
37,0.6933018109873983,-171.0,2.400000095367432
38,0.712656785155515,-183.2,2.700000047683716
39,0.7136570461211097,-199.2,2.400000095367432
40,0.7177062340149423,-173.0,3.599999904632568
41,0.719081991081979,-181.6,2.900000095367432
42,0.7216010032748725,-205.5,2.5
43,0.7534669549326667,-192.7,4.0
44,0.7634333208944334,-169.9,2.700000047683716
45,0.7644869538137896,-199.7,3.0
46,0.7778570857169806,-201.4,2.799999952316284
47,0.7950760623680894,-164.1,2.700000047683716
48,0.7965299113190483,-158.3,2.5
49,0.8117527798847107,-184.8,3.400000095367432
50,0.8214616379062151,-192.1,3.200000047683716
51,0.824540488961545,-156.9,2.5
52,0.8336352479876196,-189.1,4.699999809265137
53,0.8537460322999222,-194.3,3.099999904632568
54,0.8679040204082726,-148.2,2.200000047683716
55,0.8685786417197354,-171.7,2.299999952316284
56,0.8826592487387259,-182.1,2.799999952316284
57,0.9076719627699,-165.6,4.900000095367432
58,0.9104547147499703,-151.1,2.299999952316284
59,0.911689234332877,-190.2,2.900000095367432
60,0.9530554404864755,-172.4,3.5
61,0.9617272603166026,-151.1,3.700000047683716
62,0.9692396552309949,-178.1,3.200000047683716
63,1.037152671383173,-175.5,2.200000047683716
64,1.04348589774977,-176.4,2.5
65,1.048780337048558,-192.3,2.299999952316284
66,1.049774655809509,-203.2,2.5
67,1.055056852262966,-184.6,4.0
68,1.055679479403666,-162.6,2.299999952316284
69,1.085268038263791,-150.9,2.900000095367432
70,1.122432793792374,-201.8,2.799999952316284
71,1.13632908589806,-159.6,2.5
72,1.136351030047393,-165.0,3.900000095367432
73,1.145498148039211,-177.8,3.599999904632568
74,1.16186399734781,-180.9,2.200000047683716
75,1.176591186730034,-189.7,4.699999809265137
76,1.18790185153017,-172.0,3.200000047683716
77,1.197822953249706,-175.4,2.200000047683716
78,1.212041846407762,-203.4,2.799999952316284
79,1.240568681353185,-167.5,2.900000095367432
80,1.253624815805055,-202.3,2.5
81,1.264700502973358,-188.1,3.0
82,1.303433772760204,-198.8,5.5
83,1.362283476555702,-156.5,2.400000095367432
84,1.373475165174605,-148.0,2.400000095367432
85,1.410761059268254,-159.0,2.599999904632568
86,1.490485879016296,-199.6,2.400000095367432
87,1.498684419648839,-200.7,2.799999952316284
88,1.54811059830025,-200.2,3.299999952316284
89,1.550332357425158,-151.4,3.0
90,1.575932887444194,-191.0,3.299999952316284
91,1.608680685808551,-185.9,3.299999952316284
92,1.61061438474557,-157.5,3.299999952316284
93,1.638658872388979,-198.9,4.099999904632568
94,1.654430323205644,-161.5,3.599999904632568
95,1.699859609335625,-194.2,2.200000047683716
96,1.707960303119967,-151.3,3.599999904632568
97,1.769687828846182,-159.3,3.099999904632568
98,1.799177600347109,-190.1,2.900000095367432
99,1.8748381990859,-203.0,2.900000095367432
100,1.896139503451423,-199.2,5.5
101,1.909652815282849,-186.3,4.300000190734863
102,1.927511775126447,-194.4,3.299999952316284
103,1.986713260798481,-174.2,3.799999952316284
104,2.039001174811501,-149.5,3.0
105,2.146846239721838,-167.8,2.599999904632568
