,R,Dens
0,0.1028985019716604,1
1,0.2690361422448744,1
2,0.2754952697195435,1
3,0.3011686746975998,1
4,0.3101017167638416,1
5,0.3294983865862898,1
6,0.3676800901015567,1
7,0.3693289710445326,1
8,0.3702319415776605,1
9,0.3918026124970119,1
10,0.4255642852490124,1
11,0.4435993940779616,1
12,0.4716761474665204,1
13,0.4842601745262441,1
14,0.491167044504789,1
15,0.497600644889771,1
16,0.5065303583874387,1
17,0.518637695865401,1
18,0.5228825289100882,1
19,0.5287971980867591,1
20,0.5299074047348037,1
21,0.5360322170230077,1
22,0.5375559502030886,1
23,0.5465957512176123,1
24,0.6032147443137972,1
25,0.6060235449180463,1
26,0.6062196240786535,1
27,0.6135628748737545,1
28,0.6231520360633842,1
29,0.6326484096489364,1
30,0.6373961399385313,1
31,0.6471364149986533,1
32,0.649494540820766,1
33,0.6523721701914024,1
34,0.6588190072315654,1
35,0.679425719742538,1
36,0.6878520251795343,1
37,0.6905806178143865,1
38,0.6917398891034416,1
39,0.6917728903796035,1
40,0.6933018109873983,1
41,0.712656785155515,1
42,0.7136570461211097,1
43,0.7177062340149423,1
44,0.719081991081979,1
45,0.7216010032748725,1
46,0.7534669549326667,1
47,0.7634333208944334,1
48,0.7644869538137896,1
49,0.7778570857169806,1
50,0.7950760623680894,1
51,0.7965299113190483,1
52,0.8117527798847107,1
53,0.8214616379062151,1
54,0.824540488961545,1
55,0.8336352479876196,1
56,0.8537460322999222,1
57,0.8679040204082726,1
58,0.8685786417197354,1
59,0.8826592487387259,1
60,0.9076719627699,1
61,0.9104547147499703,1
62,0.911689234332877,1
63,0.9530554404864755,1
64,0.9617272603166026,1
65,0.9692396552309949,1
66,1.037152671383173,1
67,1.04348589774977,1
68,1.048780337048558,1
69,1.049774655809509,1
70,1.055056852262966,1
71,1.055679479403666,1
72,1.085268038263791,1
73,1.122432793792374,1
74,1.13632908589806,1
75,1.136351030047393,1
76,1.145498148039211,1
77,1.16186399734781,1
78,1.176591186730034,1
79,1.18790185153017,1
80,1.197822953249706,1
81,1.212041846407762,1
82,1.240568681353185,1
83,1.253624815805055,1
84,1.264700502973358,1
85,1.303433772760204,1
86,1.362283476555702,1
87,1.373475165174605,1
88,1.410761059268254,1
89,1.490485879016296,1
90,1.498684419648839,1
91,1.54811059830025,1
92,1.550332357425158,1
93,1.575932887444194,1
94,1.608680685808551,1
95,1.61061438474557,1
96,1.638658872388979,1
97,1.654430323205644,1
98,1.699859609335625,1
99,1.707960303119967,1
100,1.769687828846182,1
101,1.799177600347109,1
102,1.8748381990859,1
103,1.896139503451423,1
104,1.909652815282849,1
105,1.927511775126447,1
106,1.986713260798481,1
107,2.039001174811501,1
108,2.146846239721838,1
