,R,vel,velerr
0,0.06760196666811878,21.0,2.0
1,0.0920587556524113,20.0,5.0
2,0.1123954984387858,20.0,8.0
3,0.1433235517479965,30.0,8.0
4,0.151637682888024,37.6,2.299999952316284
5,0.1576937199252135,37.0,2.0
6,0.1690568755730704,24.0,8.0
7,0.1785298089574986,7.4,3.799999952316284
8,0.1918531289967622,-13.0,2.0
9,0.2098451521603361,31.0,11.0
10,0.2265998536597567,17.9,5.5
11,0.2355646523368579,26.6,10.60000038146973
12,0.2469182990696132,28.3,3.299999952316284
13,0.2495331894599155,27.6,3.400000095367432
14,0.2505013490940141,-10.9,12.39999961853027
15,0.2784131187484178,35.1,3.200000047683716
16,0.285232785853092,45.3,9.899999618530273
17,0.2901293732640149,26.3,8.899999618530273
18,0.2905250570838366,20.2,2.099999904632568
19,0.2941178457356667,39.7,4.400000095367432
20,0.3014757743092291,29.0,3.0
21,0.3038205919386138,19.5,5.900000095367432
22,0.3297140351955428,13.4,6.599999904632568
23,0.3701151321091642,24.0,3.0
24,0.3766553423230934,34.0,2.799999952316284
25,0.3780925093805195,30.3,4.0
26,0.3844816287435678,26.9,4.699999809265137
27,0.4336685973343493,33.5,2.799999952316284
28,0.4841417041227018,30.3,4.800000190734863
29,0.4931201205217046,41.9,3.400000095367432
30,0.495474614631703,34.0,2.599999904632568
31,0.4980402807716429,31.6,6.099999904632568
32,0.5222041531233756,29.1,3.900000095367432
33,0.5250703565492112,27.1,2.700000047683716
34,0.5264262998589534,38.1,9.300000190734863
35,0.5279484485654384,21.7,5.199999809265137
36,0.543345194421176,30.6,1.700000047683716
37,0.55303908375178,30.7,5.199999809265137
38,0.561703203110291,19.7,4.599999904632568
39,0.5846092266782361,31.4,4.400000095367432
40,0.620395384061084,34.2,1.700000047683716
41,0.7302552066106636,23.0,2.5
42,0.751075961312327,35.8,3.799999952316284
43,0.7569952557428209,34.0,1.799999952316284
44,0.7880807819053431,6.7,3.200000047683716
45,0.8347424790737209,21.5,1.899999976158142
46,0.8625091844316451,21.4,2.5
47,0.8824543824279789,22.5,1.899999976158142
48,0.8882984027430432,28.9,1.799999952316284
49,0.8903980412344812,25.2,2.599999904632568
50,0.8954895302655033,29.6,7.0
51,0.9412776373225163,11.5,3.5
52,0.9574021264490883,26.6,3.5
53,0.969779592583591,33.6,1.899999976158142
54,0.9838355263060379,36.3,2.200000047683716
55,0.9872797145144836,28.3,6.099999904632568
56,1.04137605864708,16.7,2.0
57,1.088495307609706,42.7,21.29999923706055
58,1.152304287227268,36.7,3.0
59,1.3357878142606,32.2,3.099999904632568
60,1.371349915305511,31.4,1.899999976158142
61,1.496257605814782,27.6,3.299999952316284
62,1.530672559982109,25.5,5.199999809265137
63,1.542131207195348,19.7,1.799999952316284
